名称	描述	状态	启动类型	登录为
ActiveX Installer (AxInstSV)	为从 Internet 安装 ActiveX 控件提供用户帐户控制验证，并基于组策略设置启用对 ActiveX 控件安装的管理。此服务根据要求启动，是否禁用 ActiveX 控件的安装取决于默认浏览器设置。		手动	本地系统
Agent Activation Runtime_128812	Runtime for activating conversational agent applications		手动	本地系统
Apollo Service	Apollo is a self-hosted game stream host for Moonlight.		手动	本地系统
App Readiness	当用户初次登录到这台电脑和添加新应用时，使应用进入就绪可用的状态。		手动	本地系统
Apple Mobile Device Service	Provides the interface to Apple mobile devices.		手动	本地服务
Application Identity	确定并验证应用程序的标识。禁用此服务将阻止强制执行 AppLocker。		手动(触发器启动)	本地服务
Application Information	使用辅助管理权限便于交互式应用程序的运行。如果停止此服务，用户将无法使用辅助管理权限启动应用程序，而执行所需用户任务可能需要这些权限。	正在运行	手动(触发器启动)	本地系统
Application Layer Gateway Service	为 Internet 连接共享提供第三方协议插件的支持		手动	本地服务
Application Management	为通过组策略部署的软件处理安装、删除以及枚举请求。如果该服务被禁用，则用户将不能安装、删除或枚举通过组策略部署的软件。如果此服务被禁用，则直接依赖于它的所有服务都将无法启动。		手动	本地系统
AppX Deployment Service (AppXSVC)	为部署 Microsoft Store 应用程序提供基础结构支持。此服务根据需要启动，如果已禁用的 Microsoft Store 应用程序未部署到系统，此服务可能无法正常工作。	正在运行	自动(触发器启动)	本地系统
AssignedAccessManager 服务	AssignedAccessManager 服务支持 Windows 中的展台体验。		手动(触发器启动)	本地系统
Autodesk Desktop Licensing Service	Autodesk Desktop Licensing Service		手动	本地服务
AVCTP 服务	这是音频视频控制传输协议服务	正在运行	手动(触发器启动)	本地服务
Background Intelligent Transfer Service	使用空闲网络带宽在后台传送文件。如果该服务被禁用，则依赖于 BITS 的任何应用程序(如 Windows 更新或 MSN Explorer)将无法自动下载程序和其他信息。		手动	本地系统
Background Tasks Infrastructure Service	控制哪些后台任务可以在系统上运行的 Windows 基础结构服务。	正在运行	自动	本地系统
Base Filtering Engine	基本筛选引擎(BFE)是一种管理防火墙和 Internet 协议安全(IPsec)策略以及实施用户模式筛选的服务。停止或禁用 BFE 服务将大大降低系统的安全。还将造成 IPsec 管理和防火墙应用程序产生不可预知的行为。	正在运行	自动	本地服务
BitComet Disk Boost Service	This service enhances disk IO performance of BitComet.		手动	本地系统
BitLocker Drive Encryption Service	BDESVC 承载 BitLocker 驱动器加密服务。BitLocker 驱动器加密为操作系统提供安全启动保障，并为 OS、固定卷和可移动卷提供全卷加密功能。使用此服务，BitLocker 可以提示用户执行与已安装卷相关的各种操作，并自动解锁卷而无需用户交互。此外，它还会将恢复信息存储至 Active Directory (如果这种方法可用并且需要这样做)，并确保使用最新的恢复证书。停止或禁用该服务可以防止用户使用此功能。	正在运行	手动(触发器启动)	本地系统
Block Level Backup Engine Service	Windows 备份使用 WBENGINE 服务执行备份和恢复操作。如果用户停止了此服务，这可能会导致当前运行的备份或恢复操作失败。使用此计算机上的 Windows 备份禁用此服务可能会禁用备份和恢复操作。		手动	本地系统
BranchCache	此服务缓存来自本地子网上对等方的网络内容。		手动	网络服务
CaptureService_128812	为调用 Windows.Graphics.Capture API 的应用程序启用可选的屏幕捕获功能。	正在运行	手动	本地系统
Certificate Propagation	将用户证书和根证书从智能卡复制到当前用户的证书存储，检测智能卡何时插入到智能卡读卡器中，并在需要时安装智能卡即插即用微型驱动器。	正在运行	手动(触发器启动)	本地系统
Clash Verge Service	Clash Verge Service helps to launch clash core	正在运行	自动	本地系统
Client License Service (ClipSVC)	为Microsoft Store提供基础结构支持。此服务按需启动，如果使用Microsoft Store购买的已禁用应用程序将无法正常运行。	正在运行	手动(触发器启动)	本地系统
CNG Key Isolation	CNG 密钥隔离服务宿主在 LSA 进程中。如一般原则所要求，该服务为私钥和相关加密操作提供密钥进程隔离。该服务在与一般原则要求相一致的安全进程中存储和使用生存期长的密钥。	正在运行	手动(触发器启动)	本地系统
COM+ Event System	支持系统事件通知服务 (SENS)，此服务为订阅的组件对象模型 (COM) 组件提供自动分布事件功能。如果停止此服务，SENS 将关闭，而且不能提供登录和注销通知。如果禁用此服务，显式依赖此服务的其他服务都将无法启动。	正在运行	自动	本地服务
COM+ System Application	管理基于组件对象模型 (COM+) 的组件的配置和跟踪。如果停止该服务，则大多数基于 COM+ 的组件将不能正常工作。如果禁用该服务，则任何明确依赖它的服务都将无法启动。		手动	本地系统
Connected User Experiences and Telemetry	Connected User Experiences and Telemetry 服务所启用的功能支持应用程序中用户体验和连接的用户体验。此外，如果在“反馈和诊断”下启用诊断和使用情况隐私选项设置，则此服务可以根据事件来管理诊断和使用情况信息的收集和传输(用于改进 Windows 平台的体验和质量)。		禁用	本地系统
ConsentUX 用户服务_128812	允许系统请求用户同意允许应用访问敏感资源和信息，如设备的位置		手动	本地系统
Contact Data_128812	为联系人数据编制索引以进行快速联系人搜索。如果停止或禁用此服务，你的搜索结果中可能会缺少联系人。		手动	本地系统
Control Center Hotkey Service		正在运行	自动	本地系统
CoreMessaging	Manages communication between system components.	正在运行	自动	本地服务
Credential Manager	为用户、应用程序和安全服务包提供凭据的安全存储和检索。	正在运行	手动	本地系统
CredentialEnrollmentManagerUserSvc_128812	凭据注册管理器		手动	本地系统
Cryptographic Services	提供三种管理服务: 编录数据库服务，用于确认 Windows 文件的签名和允许安装新程序；受保护的根服务，它从此计算机添加和删除受信任的根证书颁发机构的证书；自动根证书更新服务，用于从 Windows 更新中检索根证书和启用 SSL 等方案。如果此服务已停止，这些管理服务将无法正常运行。如果此服务已禁用，任何明确依赖它的服务将无法启动。	正在运行	自动(触发器启动)	网络服务
Data Sharing Service	提供应用程序之间的数据代理。		手动(触发器启动)	本地系统
DCOM Server Process Launcher	DCOMLAUNCH 服务可启动 COM 和 DCOM 服务器，以响应对象激活请求。如果此服务被停用或禁用，则使用 COM 或 DCOM 的程序将无法正常工作。强烈建议你运行 DCOMLAUNCH 服务。	正在运行	自动	本地系统
Delivery Optimization	执行内容传递优化任务		手动(触发器启动)	网络服务
Device Association Service	在系统与有线或无线设备之间启用匹配。	正在运行	自动(触发器启动)	本地系统
Device Install Service	使计算机在极少或没有用户输入的情况下能识别并适应硬件的更改。终止或禁用此服务会造成系统不稳定。		手动(触发器启动)	本地系统
Device Setup Manager	支持检测、下载和安装与设备相关的软件。如果此服务被禁用，则可能使用过期软件对设备进行配置，因此设备可能无法正常工作。		手动(触发器启动)	本地系统
DeviceAssociationBroker_128812	Enables apps to pair devices		手动	本地系统
DevicePicker_128812	此用户服务用于管理 Miracast、DLNA 和拨号用户界面		手动	本地系统
DevicesFlow_128812	允许 ConnectUX 和电脑设置连接 WLAN 显示器和蓝牙设备并与其配对。		手动	本地系统
DevQuery Background Discovery Broker	使应用能够发现具有后台任务的设备		手动(触发器启动)	本地系统
DHCP Client	为此计算机注册并更新 IP 地址。如果此服务停止，计算机将不能接收动态 IP 地址和 DNS 更新。如果此服务被禁用，所有明确依赖它的服务都将不能启动。	正在运行	自动	本地服务
Diagnostic Execution Service	Executes diagnostic actions for troubleshooting support		手动(触发器启动)	本地系统
Diagnostic Policy Service	诊断策略服务启用了 Windows 组件的问题检测、疑难解答和解决方案。如果该服务被停止，诊断将不再运行。	正在运行	自动	本地服务
Diagnostic Service Host	诊断服务主机被诊断策略服务用来承载需要在本地服务上下文中运行的诊断。如果停止该服务，则依赖于该服务的任何诊断将不再运行。		手动	本地服务
Diagnostic System Host	诊断系统主机被诊断策略服务用来承载需要在本地系统上下文中运行的诊断。如果停止该服务，则依赖于该服务的任何诊断将不再运行。	正在运行	手动	本地系统
DialogBlockingService	对话框阻止服务		禁用	本地系统
Distributed Link Tracking Client	维护某个计算机内或某个网络中的计算机的 NTFS 文件之间的链接。	正在运行	自动	本地系统
Distributed Transaction Coordinator	协调跨多个数据库、消息队列、文件系统等资源管理器的事务。如果停止此服务，这些事务将会失败。如果禁用此服务，显式依赖此服务的其他服务将无法启动。		手动	网络服务
DNS Client	DNS 客户端服务 (dnscache) 发送域名系统 (DNS) 查询、缓存查询结果，并在网络上注册计算机的全名。此服务不可停止。	正在运行	自动(触发器启动)	网络服务
Docker Desktop Service			手动	本地系统
Douyin Elevation Service (DouyinElevationService)			手动	本地系统
Downloaded Maps Manager	供应用程序访问已下载地图的 Windows 服务。此服务由访问已下载地图的应用程序按需启动。禁用此服务将阻止应用访问地图。		禁用	网络服务
Encrypting File System (EFS)	提供用于在 NTFS 文件系统卷上存储加密文件的核心文件加密技术。如果停止或禁用此服务，则应用程序将无法访问加密的文件。		手动(触发器启动)	本地系统
Enterprise App Management Service	启用企业应用程序管理。		手动	本地系统
Epic Games Updater	Runs the software update installation for Epic Games Launcher		手动	本地系统
Epic Online Services	Runs background processes for applications using Epic Games services		手动	本地系统
Extensible Authentication Protocol	可扩展的身份验证协议(EAP)服务在以下情况下提供网络身份验证: 802.1x 有线和无线、VPN 和网络访问保护(NAP)。EAP 在身份验证过程中也提供网络访问客户端使用的应用程序编程接口(API)，包括无线客户端和 VPN 客户端。如果禁用此服务，该计算机将无法访问需要 EAP 身份验证的网络。		手动	本地系统
File History Service	将用户文件复制到备份位置以防意外丢失		手动(触发器启动)	本地系统
FlexNet Licensing Service	This service performs licensing functions on behalf of FlexNet enabled products.	正在运行	自动	本地系统
FlexNet Licensing Service 64	This service performs licensing functions on behalf of FlexNet enabled products.	正在运行	自动	本地系统
Function Discovery Provider Host	FDPHOST 服务承载功能发现(FD)网络发现提供程序。这些 FD 提供程序为简单服务发现协议(SSDP)和 Web 服务发现(WS-D)协议提供网络发现服务。使用 FD 时停止或禁用 FDPHOST 服务将禁用这些协议的网络发现。当该服务不可用时，使用 FD 和依靠这些发现协议的网络服务将无法找到网络服务或资源。		手动	本地服务
Function Discovery Resource Publication	发布该计算机以及连接到该计算机的资源，以便能够在网络上发现这些资源。如果该服务被停止，将不再发布网络资源，网络上的其他计算机将无法发现这些资源。		手动(触发器启动)	本地服务
GameDVR 和广播用户服务_128812	此用户服务用于游戏录制和实况广播		手动	本地系统
GameInput Service	Enables keyboards, mice, gamepads, and other input devices to be used with the GameInput API.		手动(触发器启动)	本地系统
Geolocation Service	此服务将监视系统的当前位置并管理地理围栏(具有关联事件的地理位置)。如果你禁用此服务，应用程序将无法使用或接收有关地理位置或地理围栏的通知。		手动(触发器启动)	本地系统
GraphicsPerfSvc	Graphics performance monitor service		手动(触发器启动)	本地系统
Group Policy Client	此服务负责应用管理员通过组策略组件为计算机和用户配置的设置。如果禁用此服务，将不会应用这些设置，并且将无法通过组策略管理应用程序和组件。如果禁用此服务，依赖于组策略组件的所有组件或应用程序都将无法正常运行。	正在运行	自动(触发器启动)	本地系统
HotKey Clipboard Service		正在运行	自动	本地系统
Hotpatch Monitoring Service	Monitors Hotpatch ETW Trace providers and reports failures.		手动	本地系统
Human Interface Device Service	激活键盘、遥控器和其他多媒体设备上的热按钮并继续使用这些按钮。建议你让此服务一直运行。	正在运行	手动(触发器启动)	本地系统
Huorong Internet Security Daemon	Huorong Internet Security Daemon	正在运行	自动	本地系统
HV 主机服务	为 Hyper-V 虚拟机监控程序提供接口，以便为主机操作系统提供单分区性能计数器。	正在运行	手动(触发器启动)	本地系统
